date,giadieuchinh,close,thaydoi,volumn,gtkhoplenh,klthoathuan,gtthoathuan,giathamchieu,open,max,min,adj
2018-06-28,10.5,12.6,0.00 (0.00 %),0,0,0,0,12.6,12.6,12.6,12.6,10.5
2018-06-29,10.5,12.6,0.00 (0.00 %),0,0,0,0,12.6,12.6,12.6,12.6,10.5
2018-07-02,10.5,12.6,0.00 (0.00 %),0,0,0,0,12.6,12.6,12.6,12.6,10.5
2018-07-03,10.5,12.6,0.00 (0.00 %),0,0,0,0,12.6,12.6,12.6,12.6,10.5
2018-07-04,10.5,12.6,0.00 (0.00 %),0,0,0,0,12.6,12.6,12.6,12.6,10.5
2018-07-05,10.5,12.6,0.00 (0.00 %),0,0,0,0,12.6,12.6,12.6,12.6,10.5
2018-07-06,9.67,11.6,-1.00 (-7.94 %),100,1160000,0,0,12.6,11.6,11.6,11.6,9.67
2018-07-09,9.67,11.6,0.00 (0.00 %),0,0,0,0,11.6,11.6,11.6,11.6,9.67
2018-07-10,9.67,11.6,0.00 (0.00 %),0,0,0,0,11.6,11.6,11.6,11.6,9.67
2018-07-11,9.67,11.6,0.00 (0.00 %),0,0,0,0,11.6,11.6,11.6,11.6,9.67
2018-07-12,9.58,11.5,-0.10 (-0.86 %),1000,11500000,0,0,11.6,11.5,11.5,11.5,9.58
2018-07-13,9.58,11.5,0.00 (0.00 %),0,0,0,0,11.5,11.5,11.5,11.5,9.58
2018-07-16,9.58,11.5,0.00 (0.00 %),0,0,0,0,11.5,11.5,11.5,11.5,9.58
2018-07-17,9.58,11.5,0.00 (0.00 %),0,0,0,0,11.5,11.5,11.5,11.5,9.58
2018-07-18,9.58,11.5,0.00 (0.00 %),0,0,0,0,11.5,11.5,11.5,11.5,9.58
2018-07-19,9.58,11.5,0.00 (0.00 %),0,0,0,0,11.5,11.5,11.5,11.5,9.58
2018-07-20,9.33,11.2,-0.30 (-2.61 %),400,4480000,0,0,11.5,11.2,11.2,11.2,9.33
2018-07-23,10.62,12.8,1.60 (14.29 %),200,2550000,0,0,11.2,12.7,12.8,12.7,10.67
2018-07-24,10.83,13,0.20 (1.56 %),500,6500000,0,0,12.8,13,13,13,10.83
2018-07-25,10.83,13,0.00 (0.00 %),0,0,0,0,13,13,13,13,10.83
2018-07-26,10.83,13,0.00 (0.00 %),0,0,0,0,13,13,13,13,10.83
2018-07-27,9.58,11.5,-1.50 (-11.54 %),1400,16100000,0,0,13,11.5,11.5,11.5,9.58
2018-07-30,10.92,13.1,1.60 (13.91 %),100,1310000,0,0,11.5,13.1,13.1,13.1,10.92
2018-07-31,10.92,13.1,0.00 (0.00 %),0,0,0,0,13.1,13.1,13.1,13.1,10.92
2018-08-01,9.67,11.6,-1.50 (-11.45 %),800,9280000,0,0,13.1,11.6,11.6,11.6,9.67
2018-08-02,10.58,12.7,1.10 (9.48 %),1500,19040000,0,0,11.6,12.7,12.7,12.6,10.58
2018-08-03,10.58,12.7,0.00 (0.00 %),0,0,0,0,12.7,12.7,12.7,12.7,10.58
2018-08-06,10.58,12.7,0.00 (0.00 %),0,0,0,0,12.7,12.7,12.7,12.7,10.58
2018-08-07,10.58,12.7,0.00 (0.00 %),0,0,0,0,12.7,12.7,12.7,12.7,10.58
2018-08-08,9.75,11.7,-1.00 (-7.87 %),100,1170000,0,0,12.7,11.7,11.7,11.7,9.75
2018-08-09,9.75,11.7,0.00 (0.00 %),0,0,0,0,11.7,11.7,11.7,11.7,9.75
2018-08-10,9.75,11.7,0.00 (0.00 %),0,0,"2,000","23,400,000",11.7,11.7,11.7,11.7,9.75
2018-08-13,9.75,11.7,0.00 (0.00 %),2000,23400000,0,0,11.7,11.7,11.7,11.7,9.75
2018-08-15,9.75,11.7,0.00 (0.00 %),0,0,0,0,11.7,11.7,11.7,11.7,9.75
2018-08-16,9.75,11.7,0.00 (0.00 %),0,0,0,0,11.7,11.7,11.7,11.7,9.75
2018-08-17,9.75,11.7,0.00 (0.00 %),0,0,0,0,11.7,11.7,11.7,11.7,9.75
2018-08-20,9.75,11.7,0.00 (0.00 %),0,0,0,0,11.7,11.7,11.7,11.7,9.75
2018-08-21,9.97,12,0.30 (2.56 %),300,3590000,0,0,11.7,11.9,12,11.9,10
2018-08-22,10,12,0.00 (0.00 %),0,0,0,0,12,12,12,12,10
2018-08-23,10,12,0.00 (0.00 %),0,0,0,0,12,12,12,12,10
2018-08-24,10,12,0.00 (0.00 %),0,0,0,0,12,12,12,12,10
2018-08-27,9.67,11.6,-0.40 (-3.33 %),500,5800000,0,0,12,11.6,11.6,11.6,9.67
2018-08-28,9.67,11.6,0.00 (0.00 %),500,5800000,0,0,11.6,11.6,11.6,11.6,9.67
